,title,price,link
20,Acer Swift Go 14 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) SFG14-41 Thin and Li...,"â‚¹44,990",https://www.flipkart.com/acer-swift-go-14-amd-ryzen-5-hexa-core-7430u-16-gb-512-gb-ssd-windows-11-home-sfg14-41-thin-light-laptop/p/itmf483d5151086b?pid=COMH3GFNKMHJEBYF&lid=LSTCOMH3GFNKMHJEBYFYBAVSV&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_5_117&otracker=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&fm=search-autosuggest&iid=5d41429d-c31c-45a3-8000-78424abcedc4.COMH3GFNKMHJEBYF.SEARCH&ppt=sp&ppn=sp&ssid=sm8pu4swgg0000001729435785507&qH=146bdebb324a64d3
21,Lenovo IdeaPad Slim 3 Backlit Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 15IAH...,"â‚¹50,100",https://www.flipkart.com/lenovo-ideapad-slim-3-backlit-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-15iah8-thin-light-laptop/p/itm0b995cf0a5161?pid=COMGVQ2Y3ENU2RNV&lid=LSTCOMGVQ2Y3ENU2RNVUAFWNA&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_5_118&otracker=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&fm=search-autosuggest&iid=5d41429d-c31c-45a3-8000-78424abcedc4.COMGVQ2Y3ENU2RNV.SEARCH&ppt=sp&ppn=sp&ssid=sm8pu4swgg0000001729435785507&qH=146bdebb324a64d3
22,ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ322WS Thin...,"â‚¹31,990",https://www.flipkart.com/asus-vivobook-15-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj322ws-thin-light-laptop/p/itmda564b198c5ad?pid=COMH4Y6KT9ZMYXA6&lid=LSTCOMH4Y6KT9ZMYXA60HIRLB&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_5_119&otracker=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&fm=search-autosuggest&iid=5d41429d-c31c-45a3-8000-78424abcedc4.COMH4Y6KT9ZMYXA6.SEARCH&ppt=sp&ppn=sp&ssid=sm8pu4swgg0000001729435785507&qH=146bdebb324a64d3
23,HP Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fy5004TU Thin and Light Lapto...,"â‚¹40,990",https://www.flipkart.com/hp-intel-core-i3-12th-gen-1215u-16-gb-512-gb-ssd-windows-11-home-15s-fy5004tu-thin-light-laptop/p/itmbe47c02f8581c?pid=COMGQY48KGHRAF3B&lid=LSTCOMGQY48KGHRAF3BRCYCYH&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_5_120&otracker=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&fm=search-autosuggest&iid=5d41429d-c31c-45a3-8000-78424abcedc4.COMGQY48KGHRAF3B.SEARCH&ppt=sp&ppn=sp&ssid=sm8pu4swgg0000001729435785507&qH=146bdebb324a64d3
24,Lenovo V14 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) V14 ITL G2 Thin and Light ...,"â‚¹36,990",https://www.flipkart.com/lenovo-v14-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-itl-g2-thin-light-laptop/p/itm330ccb4eab074?pid=COMG6VRPCDUFX6X4&lid=LSTCOMG6VRPCDUFX6X4PIH6PG&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_13&otracker=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&iid=c23c0939-39ae-45d9-abcf-d304476aa6d3.COMG6VRPCDUFX6X4.SEARCH&ssid=dp0ykx8l1s0000001729435763982&qH=146bdebb324a64d3
25,MSI Thin A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"â‚¹47,990",https://www.flipkart.com/msi-thin-a15-amd-ryzen-5-hexa-core-7535hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-144-hz-b7ucx-068in-gaming-laptop/p/itmd6ef7f8cf3768?pid=COMGXMSXZTA8NKTP&lid=LSTCOMGXMSXZTA8NKTPBP1VB6&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_6_121&otracker=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&fm=search-autosuggest&iid=f9142f30-4100-4a84-8156-8d182528b177.COMGXMSXZTA8NKTP.SEARCH&ppt=sp&ppn=sp&ssid=ylycamsvxs0000001729435790587&qH=146bdebb324a64d3
26,Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin a...,"â‚¹49,229",https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-14iah8-thin-light-laptop/p/itm7329d9b344191?pid=COMGYHP5ZB4AGZH6&lid=LSTCOMGYHP5ZB4AGZH6FHRJ3V&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_6_122&otracker=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&fm=search-autosuggest&iid=f9142f30-4100-4a84-8156-8d182528b177.COMGYHP5ZB4AGZH6.SEARCH&ppt=sp&ppn=sp&ssid=ylycamsvxs0000001729435790587&qH=146bdebb324a64d3
27,Acer Predator Neo Intel Core i7 13th Gen 13700HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDI...,"â‚¹1,04,990",https://www.flipkart.com/acer-predator-neo-intel-core-i7-13th-gen-13700hx-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-4050-phn16-71-757p-gaming-laptop/p/itmbac4c539241e8?pid=COMGZS9GYMHMGDT6&lid=LSTCOMGZS9GYMHMGDT6BRZQ8C&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_6_123&otracker=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&fm=search-autosuggest&iid=f9142f30-4100-4a84-8156-8d182528b177.COMGZS9GYMHMGDT6.SEARCH&ppt=sp&ppn=sp&ssid=ylycamsvxs0000001729435790587&qH=146bdebb324a64d3
28,ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11260H - (8 GB/512 GB SSD/Windows 11 Ho...,"â‚¹47,990",https://www.flipkart.com/asus-tuf-gaming-f15-ai-powered-intel-core-i5-11th-gen-11260h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-144-hz-70-tgp-fx506hf-hn075w-laptop/p/itmbd858702e076f?pid=COMGS2AJESZQCMRT&lid=LSTCOMGS2AJESZQCMRTZVTWT2&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_6_124&otracker=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&fm=search-autosuggest&iid=f9142f30-4100-4a84-8156-8d182528b177.COMGS2AJESZQCMRT.SEARCH&ppt=sp&ppn=sp&ssid=ylycamsvxs0000001729435790587&qH=146bdebb324a64d3
29,ZEBRONICS Pro Series Z Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) ZEB-NBC 4S Thi...,"â‚¹29,990",https://www.flipkart.com/zebronics-pro-series-z-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-zeb-nbc-4s-thin-light-laptop/p/itmf4967e076a331?pid=COMGSZ8N2NFC8CGS&lid=LSTCOMGSZ8N2NFC8CGSARQDQB&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_6_125&otracker=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&fm=search-autosuggest&iid=f9142f30-4100-4a84-8156-8d182528b177.COMGSZ8N2NFC8CGS.SEARCH&ppt=sp&ppn=sp&ssid=ylycamsvxs0000001729435790587&qH=146bdebb324a64d3
30,Acer Swift Go 14 AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) SFG14-41 Thin and Li...,"â‚¹49,990",https://www.flipkart.com/acer-swift-go-14-amd-ryzen-7-octa-core-7730u-16-gb-512-gb-ssd-windows-11-home-sfg14-41-thin-light-laptop/p/itm8c24ada29d398?pid=COMH3GFNZZGQTAEW&lid=LSTCOMH3GFNZZGQTAEWMUOVHC&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_6_126&otracker=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_3_na_na_na&fm=search-autosuggest&iid=f9142f30-4100-4a84-8156-8d182528b177.COMH3GFNZZGQTAEW.SEARCH&ppt=sp&ppn=sp&ssid=ylycamsvxs0000001729435790587&qH=146bdebb324a64d3
